som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.036173,1960,negative regulation of cytokine-mediated signaling pathway,biological process,1959,regulation of cytokine-mediated signaling pathway,9968,negative regulation of signal transduction,60761,negative regulation of response to cytokine stimulus,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of the cytokine mediated signaling pathway. [GOC:hjd]"
0.036173,32693,negative regulation of interleukin-10 production,biological process,1818,negative regulation of cytokine production,32653,regulation of interleukin-10 production,,,,,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interleukin-10 production. [GOC:mah]"
0.036173,42476,odontogenesis,biological process,9887,organ morphogenesis,,,,,,,"The process whose specific outcome is the progression of a tooth or teeth over time, from formation to the mature structure(s). A tooth is any hard bony, calcareous, or chitinous organ found in the mouth or pharynx of an animal and used in procuring or masticating food. [GOC:jl, GOC:mah]"
0.036173,50901,leukocyte tethering or rolling,biological process,7159,leukocyte cell-cell adhesion,,,,,,,"Transient adhesive interactions between leukocytes and endothelial cells lining blood vessels mediated primarily by selectins and which are typically the first step in cellular extravasation. [ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]"
0.045117,7166,cell surface receptor signaling pathway,biological process,7165,signal transduction,,,,,,,"A series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription. [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"
som_mouse_3_4,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.0028321,43409,negative regulation of MAPK cascade,biological process,10741,negative regulation of intracellular protein kinase cascade,43408,regulation of MAPK cascade,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the MAPKKK cascade. [GOC:go_curators]"
0.0099197,30593,neutrophil chemotaxis,biological process,30595,leukocyte chemotaxis,,,,,,,"The directed movement of a neutrophil cell, the most numerous polymorphonuclear leukocyte found in the blood, in response to an external stimulus, usually an infection or wounding. [GOC:jl, ISBN:0198506732]"
0.013814,10033,response to organic substance,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus. [GOC:sm]"
som_mouse_3_5,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.0029334,6997,nucleus organization,biological process,6996,organelle organization,,,,,,,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the nucleus. [GOC:dph, GOC:ems, GOC:jl, GOC:mah]"
0.007119,6520,cellular amino acid metabolic process,biological process,19752,carboxylic acid metabolic process,44106,cellular amine metabolic process,44238,primary metabolic process,,,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells. [CHEBI:33709, GOC:curators, ISBN:0198506732]"
0.033393,10033,response to organic substance,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus. [GOC:sm]"
0.033393,30261,chromosome condensation,biological process,6323,DNA packaging,51276,chromosome organization,,,,,"The progressive compaction of dispersed interphase chromatin into threadlike chromosomes prior to mitotic or meiotic nuclear division, or during apoptosis, in eukaryotic cells. [GOC:mah, ISBN:0815316194]"
som_mouse_3_6,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00071553,10887,negative regulation of cholesterol storage,biological process,10885,regulation of cholesterol storage,10888,negative regulation of lipid storage,,,,,"Any process that decreases the rate or extent of cholesterol storage. Cholesterol storage is the accumulation and maintenance in cells or tissues of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. [GOC:BHF, GOC:dph, GOC:tb]"
0.0041429,30195,negative regulation of blood coagulation,biological process,30193,regulation of blood coagulation,50819,negative regulation of coagulation,1900047,negative regulation of hemostasis,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of blood coagulation. [GOC:mah]"
0.0097757,6633,fatty acid biosynthetic process,biological process,6631,fatty acid metabolic process,8610,lipid biosynthetic process,46394,carboxylic acid biosynthetic process,,,"The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes. [GOC:mah, ISBN:0198506732]"
0.013395,8217,regulation of blood pressure,biological process,65008,regulation of biological quality,,,,,,,"Any process that modulates the force with which blood travels through the circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure. [GOC:dph, GOC:mtg_cardio, ISBN:0721643949]"
0.01375,7214,gamma-aminobutyric acid signaling pathway,biological process,7186,G-protein coupled receptor signaling pathway,,,,,,,"The series of molecular signals generated by the binding of gamma-aminobutyric acid (GABA, 4-aminobutyrate), an amino acid which acts as a neurotransmitter in some organisms, to a cell surface receptor. [GOC:mah]"
0.01375,15671,oxygen transport,biological process,15669,gas transport,,,,,,,"The directed movement of oxygen (O2) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.022755,7602,phototransduction,biological process,7165,signal transduction,9583,detection of light stimulus,,,,,The sequence of reactions within a cell required to convert absorbed photons into a molecular signal. [GOC:go_curators]
0.022755,8306,associative learning,biological process,7612,learning,,,,,,,Learning by associating a stimulus (the cause) with a particular outcome (the effect). [ISBN:0582227089]
0.022755,42953,lipoprotein transport,biological process,15031,protein transport,,,,,,,"The directed movement of any conjugated, water-soluble protein in which the nonprotein group consists of a lipid or lipids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:jl, ISBN:0198506732]"
0.027949,50873,brown fat cell differentiation,biological process,45444,fat cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a brown adipocyte, an animal connective tissue cell involved in adaptive thermogenesis. Brown adipocytes contain multiple small droplets of triglycerides and a high number of mitochondria. [PMID:12588810]"
0.033566,70328,triglyceride homeostasis,biological process,55088,lipid homeostasis,,,,,,,"Any process involved in the maintenance of an internal steady state of triglyceride within an organism or cell. [GOC:BHF, GOC:mah]"
0.039582,9725,response to hormone stimulus,biological process,9719,response to endogenous stimulus,10033,response to organic substance,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus. [GOC:jl]"
